,2014,2015,2016,2017,2018,2019,2020,2021
171,4433,-1,-1,-1,-1,-1,-1,-1
172,2811,5045,-1,-1,-1,-1,-1,-1
173,12394,-1,-1,-1,-1,-1,-1,-1
174,1861,-1,-1,-1,-1,-1,-1,-1
175,11632,21088,-1,-1,-1,-1,-1,-1
176,4968,-1,-1,-1,-1,-1,-1,-1
177,2414,-1,-1,-1,-1,-1,-1,-1
178,132,3766,-1,-1,-1,-1,-1,-1
179,2045,6511,-1,-1,-1,-1,-1,-1
180,3620,8675,-1,-1,-1,-1,-1,-1
181,428,-1,-1,-1,-1,-1,-1,-1
182,6418,-1,-1,-1,-1,-1,-1,-1
183,2370,6414,13172,20194,-1,-1,-1,-1
184,236,5181,12384,20702,-1,-1,-1,-1
185,2434,9644,20219,-1,-1,-1,-1,-1
186,2984,6737,-1,-1,-1,-1,-1,-1
187,5174,11994,23086,-1,-1,-1,-1,-1
188,3108,-1,-1,-1,-1,-1,-1,-1
189,171,-1,-1,-1,-1,-1,-1,-1
190,4572,9739,-1,-1,-1,-1,-1,-1
191,1620,2443,-1,-1,-1,-1,-1,-1
192,1715,-1,-1,-1,-1,-1,-1,-1
193,6606,-1,-1,-1,-1,-1,-1,-1
194,4825,-1,-1,-1,-1,-1,-1,-1
195,3169,-1,-1,-1,-1,-1,-1,-1
196,2451,6876,13769,-1,-1,-1,-1,-1
197,1338,-1,-1,-1,-1,-1,-1,-1
198,2332,-1,-1,-1,-1,-1,-1,-1
199,8529,-1,-1,-1,-1,-1,-1,-1
200,4190,-1,-1,-1,-1,-1,-1,-1
201,3916,-1,-1,-1,-1,-1,-1,-1
202,195,3675,11169,-1,-1,-1,-1,-1
203,3826,10991,-1,-1,-1,-1,-1,-1
204,1783,8680,18894,-1,-1,-1,-1,-1
205,2616,7734,-1,-1,-1,-1,-1,-1
206,5176,-1,-1,-1,-1,-1,-1,-1
207,3788,-1,-1,-1,-1,-1,-1,-1
208,1570,-1,-1,-1,-1,-1,-1,-1
209,3371,-1,-1,-1,-1,-1,-1,-1
210,3939,7954,-1,-1,-1,-1,-1,-1
211,3804,8312,-1,-1,-1,-1,-1,-1
212,3750,11320,22050,-1,-1,-1,-1,-1
213,3924,-1,-1,-1,-1,-1,-1,-1
214,3871,-1,-1,-1,-1,-1,-1,-1
215,7280,-1,-1,-1,-1,-1,-1,-1
216,4225,11352,-1,-1,-1,-1,-1,-1
217,2259,5784,-1,-1,-1,-1,-1,-1
218,5224,14838,-1,-1,-1,-1,-1,-1
219,3103,-1,-1,-1,-1,-1,-1,-1
220,2823,-1,-1,-1,-1,-1,-1,-1
221,2684,4791,-1,-1,-1,-1,-1,-1
222,5600,-1,-1,-1,-1,-1,-1,-1
223,3584,-1,-1,-1,-1,-1,-1,-1
224,4683,-1,-1,-1,-1,-1,-1,-1
225,5505,18207,-1,-1,-1,-1,-1,-1
226,3914,-1,-1,-1,-1,-1,-1,-1
227,8276,-1,-1,-1,-1,-1,-1,-1
228,3256,-1,-1,-1,-1,-1,-1,-1
229,4284,-1,-1,-1,-1,-1,-1,-1
230,1769,-1,-1,-1,-1,-1,-1,-1
231,3241,-1,-1,-1,-1,-1,-1,-1
232,4479,-1,-1,-1,-1,-1,-1,-1
233,2219,-1,-1,-1,-1,-1,-1,-1
234,5355,14202,-1,-1,-1,-1,-1,-1
235,4365,2965,-1,-1,-1,-1,-1,-1
236,5711,-1,-1,-1,-1,-1,-1,-1
237,2161,-1,-1,-1,-1,-1,-1,-1
238,3062,9434,15333,-1,-1,-1,-1,-1
239,13063,-1,-1,-1,-1,-1,-1,-1
240,8179,-1,-1,-1,-1,-1,-1,-1
241,5943,-1,-1,-1,-1,-1,-1,-1
242,5725,-1,-1,-1,-1,-1,-1,-1
243,246,5237,14095,-1,-1,-1,-1,-1
244,228,-1,-1,-1,-1,-1,-1,-1
245,260,-1,-1,-1,-1,-1,-1,-1
246,4796,-1,-1,-1,-1,-1,-1,-1
247,228,-1,-1,-1,-1,-1,-1,-1
248,2711,-1,-1,-1,-1,-1,-1,-1
249,559,-1,-1,-1,-1,-1,-1,-1
250,5729,-1,-1,-1,-1,-1,-1,-1
251,552,-1,-1,-1,-1,-1,-1,-1
252,4714,-1,-1,-1,-1,-1,-1,-1
253,12906,19261,-1,-1,-1,-1,-1,-1
254,164,-1,-1,-1,-1,-1,-1,-1
255,3055,-1,-1,-1,-1,-1,-1,-1
256,4755,-1,-1,-1,-1,-1,-1,-1
257,1256,-1,-1,-1,-1,-1,-1,-1
258,7227,-1,-1,-1,-1,-1,-1,-1
259,805,7321,-1,-1,-1,-1,-1,-1
260,4538,-1,-1,-1,-1,-1,-1,-1
261,18891,-1,-1,-1,-1,-1,-1,-1
262,2857,-1,-1,-1,-1,-1,-1,-1
263,3921,-1,-1,-1,-1,-1,-1,-1
264,1725,-1,-1,-1,-1,-1,-1,-1
265,1779,-1,-1,-1,-1,-1,-1,-1
266,1176,-1,-1,-1,-1,-1,-1,-1
267,2004,6354,-1,-1,-1,-1,-1,-1
268,2953,9564,17877,-1,-1,-1,-1,-1
269,4668,13223,-1,-1,-1,-1,-1,-1
270,5459,11123,-1,-1,-1,-1,-1,-1
271,261,7189,-1,-1,-1,-1,-1,-1
272,5442,-1,-1,-1,-1,-1,-1,-1
273,198,3974,-1,-1,-1,-1,-1,-1
274,184,1088,-1,-1,-1,-1,-1,-1
275,12199,-1,-1,-1,-1,-1,-1,-1
276,6796,17865,-1,-1,-1,-1,-1,-1
277,2407,15553,-1,-1,-1,-1,-1,-1
278,10488,20554,36327,50518,-1,-1,-1,-1
279,606,-1,-1,-1,-1,-1,-1,-1
280,6046,-1,-1,-1,-1,-1,-1,-1
281,124,1684,-1,-1,-1,-1,-1,-1
282,5131,13073,23614,-1,-1,-1,-1,-1
283,5659,13701,20894,32290,-1,-1,-1,-1
284,6453,-1,-1,-1,-1,-1,-1,-1
285,5111,17803,-1,-1,-1,-1,-1,-1
286,741,-1,-1,-1,-1,-1,-1,-1
287,6201,-1,-1,-1,-1,-1,-1,-1
288,403,-1,-1,-1,-1,-1,-1,-1
289,4740,-1,-1,-1,-1,-1,-1,-1
290,1811,4360,-1,-1,-1,-1,-1,-1
291,1774,-1,-1,-1,-1,-1,-1,-1
292,3875,-1,-1,-1,-1,-1,-1,-1
293,3077,-1,-1,-1,-1,-1,-1,-1
294,5713,-1,-1,-1,-1,-1,-1,-1
295,315,-1,-1,-1,-1,-1,-1,-1
296,2215,-1,-1,-1,-1,-1,-1,-1
297,1380,5224,10895,17846,28736,-1,-1,-1
298,1925,-1,-1,-1,-1,-1,-1,-1
299,1170,-1,-1,-1,-1,-1,-1,-1
300,1571,-1,-1,-1,-1,-1,-1,-1
301,5258,-1,-1,-1,-1,-1,-1,-1
302,701,2997,5898,-1,-1,-1,-1,-1
303,2787,-1,-1,-1,-1,-1,-1,-1
304,5041,-1,-1,-1,-1,-1,-1,-1
305,3158,-1,-1,-1,-1,-1,-1,-1
306,4117,-1,-1,-1,-1,-1,-1,-1
307,2595,-1,-1,-1,-1,-1,-1,-1
308,892,-1,-1,-1,-1,-1,-1,-1
309,468,-1,-1,-1,-1,-1,-1,-1
310,2405,-1,-1,-1,-1,-1,-1,-1
311,1678,-1,-1,-1,-1,-1,-1,-1
312,16424,-1,-1,-1,-1,-1,-1,-1
313,8122,-1,-1,-1,-1,-1,-1,-1
314,4427,-1,-1,-1,-1,-1,-1,-1
315,619,-1,-1,-1,-1,-1,-1,-1
316,1933,-1,-1,-1,-1,-1,-1,-1
317,10876,-1,-1,-1,-1,-1,-1,-1
318,1288,3664,6436,-1,-1,-1,-1,-1
319,15767,-1,-1,-1,-1,-1,-1,-1
320,2684,9785,-1,-1,-1,-1,-1,-1
321,1717,-1,-1,-1,-1,-1,-1,-1
322,3683,-1,-1,-1,-1,-1,-1,-1
323,1432,-1,-1,-1,-1,-1,-1,-1
324,4862,-1,-1,-1,-1,-1,-1,-1
325,14276,-1,-1,-1,-1,-1,-1,-1
326,2367,-1,-1,-1,-1,-1,-1,-1
327,10380,-1,-1,-1,-1,-1,-1,-1
328,1464,-1,-1,-1,-1,-1,-1,-1
329,354,2872,-1,-1,-1,-1,-1,-1
330,467,-1,-1,-1,-1,-1,-1,-1
331,2009,-1,-1,-1,-1,-1,-1,-1
332,3930,-1,-1,-1,-1,-1,-1,-1
333,350,6466,-1,-1,-1,-1,-1,-1
334,4997,-1,-1,-1,-1,-1,-1,-1
335,298,6161,-1,-1,-1,-1,-1,-1
336,1477,-1,-1,-1,-1,-1,-1,-1
337,136,718,-1,-1,-1,-1,-1,-1
338,2733,-1,-1,-1,-1,-1,-1,-1
339,3264,-1,-1,-1,-1,-1,-1,-1
340,1573,-1,-1,-1,-1,-1,-1,-1
341,1689,-1,-1,-1,-1,-1,-1,-1
342,222,-1,-1,-1,-1,-1,-1,-1
343,709,-1,-1,-1,-1,-1,-1,-1
344,1638,-1,-1,-1,-1,-1,-1,-1
345,1396,-1,-1,-1,-1,-1,-1,-1
346,4812,-1,-1,-1,-1,-1,-1,-1
347,5992,-1,-1,-1,-1,-1,-1,-1
348,803,-1,-1,-1,-1,-1,-1,-1
349,2981,-1,-1,-1,-1,-1,-1,-1
350,3070,-1,-1,-1,-1,-1,-1,-1
351,2713,-1,-1,-1,-1,-1,-1,-1
352,2298,-1,-1,-1,-1,-1,-1,-1
353,4028,-1,-1,-1,-1,-1,-1,-1
354,253,-1,-1,-1,-1,-1,-1,-1
355,1375,-1,-1,-1,-1,-1,-1,-1
356,5390,-1,-1,-1,-1,-1,-1,-1
357,1362,-1,-1,-1,-1,-1,-1,-1
358,145,3042,7067,11790,-1,-1,-1,-1
359,12459,-1,-1,-1,-1,-1,-1,-1
360,102,-1,-1,-1,-1,-1,-1,-1
361,1677,-1,-1,-1,-1,-1,-1,-1
362,4740,-1,-1,-1,-1,-1,-1,-1
363,124,3211,-1,-1,-1,-1,-1,-1
364,1545,3944,-1,-1,-1,-1,-1,-1
365,1465,-1,-1,-1,-1,-1,-1,-1
366,174,-1,-1,-1,-1,-1,-1,-1
367,4752,-1,-1,-1,-1,-1,-1,-1
368,587,-1,-1,-1,-1,-1,-1,-1
369,785,5689,12610,-1,-1,-1,-1,-1
370,1626,-1,-1,-1,-1,-1,-1,-1
371,2146,-1,-1,-1,-1,-1,-1,-1
372,6904,-1,-1,-1,-1,-1,-1,-1
373,1237,-1,-1,-1,-1,-1,-1,-1
374,1770,-1,-1,-1,-1,-1,-1,-1
375,1863,-1,-1,-1,-1,-1,-1,-1
376,271,2184,-1,-1,-1,-1,-1,-1
377,1862,3689,-1,-1,-1,-1,-1,-1
378,353,-1,-1,-1,-1,-1,-1,-1
379,932,-1,-1,-1,-1,-1,-1,-1
380,6619,-1,-1,-1,-1,-1,-1,-1
381,356,-1,-1,-1,-1,-1,-1,-1
382,289,-1,-1,-1,-1,-1,-1,-1
383,3255,-1,-1,-1,-1,-1,-1,-1
384,362,6743,18353,-1,-1,-1,-1,-1
385,1242,-1,-1,-1,-1,-1,-1,-1
386,3410,-1,-1,-1,-1,-1,-1,-1
387,1759,-1,-1,-1,-1,-1,-1,-1
388,317,-1,-1,-1,-1,-1,-1,-1
389,508,-1,-1,-1,-1,-1,-1,-1
390,536,-1,-1,-1,-1,-1,-1,-1
391,1669,-1,-1,-1,-1,-1,-1,-1
392,1417,-1,-1,-1,-1,-1,-1,-1
393,1065,3987,7971,11269,20122,-1,-1,-1
394,4004,-1,-1,-1,-1,-1,-1,-1
395,1178,-1,-1,-1,-1,-1,-1,-1
396,4722,-1,-1,-1,-1,-1,-1,-1
397,2424,3980,-1,-1,-1,-1,-1,-1
398,829,-1,-1,-1,-1,-1,-1,-1
399,1159,-1,-1,-1,-1,-1,-1,-1
400,239,3614,-1,-1,-1,-1,-1,-1
401,1896,-1,-1,-1,-1,-1,-1,-1
402,3784,-1,-1,-1,-1,-1,-1,-1
403,270,-1,-1,-1,-1,-1,-1,-1
404,1220,-1,-1,-1,-1,-1,-1,-1
405,6509,-1,-1,-1,-1,-1,-1,-1
406,2106,-1,-1,-1,-1,-1,-1,-1
407,4536,-1,-1,-1,-1,-1,-1,-1
408,4706,-1,-1,-1,-1,-1,-1,-1
409,2995,-1,-1,-1,-1,-1,-1,-1
410,2257,-1,-1,-1,-1,-1,-1,-1
411,2439,-1,-1,-1,-1,-1,-1,-1
412,2402,-1,-1,-1,-1,-1,-1,-1
413,4605,-1,-1,-1,-1,-1,-1,-1
414,6575,-1,-1,-1,-1,-1,-1,-1
415,3336,-1,-1,-1,-1,-1,-1,-1
416,2276,-1,-1,-1,-1,-1,-1,-1
417,1613,-1,-1,-1,-1,-1,-1,-1
418,5606,-1,-1,-1,-1,-1,-1,-1
419,1698,-1,-1,-1,-1,-1,-1,-1
420,3196,-1,-1,-1,-1,-1,-1,-1
421,3843,-1,-1,-1,-1,-1,-1,-1
422,2062,-1,-1,-1,-1,-1,-1,-1
423,2044,-1,-1,-1,-1,-1,-1,-1
424,1366,-1,-1,-1,-1,-1,-1,-1
425,1554,-1,-1,-1,-1,-1,-1,-1
426,2840,-1,-1,-1,-1,-1,-1,-1
427,3152,-1,-1,-1,-1,-1,-1,-1
428,3041,-1,-1,-1,-1,-1,-1,-1
429,2721,-1,-1,-1,-1,-1,-1,-1
430,3934,-1,-1,-1,-1,-1,-1,-1
431,611,-1,-1,-1,-1,-1,-1,-1
432,2899,5940,-1,-1,-1,-1,-1,-1
433,772,-1,-1,-1,-1,-1,-1,-1
434,485,-1,-1,-1,-1,-1,-1,-1
435,6209,-1,-1,-1,-1,-1,-1,-1
436,3503,-1,-1,-1,-1,-1,-1,-1
437,4881,-1,-1,-1,-1,-1,-1,-1
438,992,-1,-1,-1,-1,-1,-1,-1
439,3927,-1,-1,-1,-1,-1,-1,-1
440,3701,-1,-1,-1,-1,-1,-1,-1
441,1701,-1,-1,-1,-1,-1,-1,-1
442,120,6776,-1,-1,-1,-1,-1,-1
443,429,-1,-1,-1,-1,-1,-1,-1
444,2604,-1,-1,-1,-1,-1,-1,-1
445,1299,-1,-1,-1,-1,-1,-1,-1
446,2341,1810,-1,-1,-1,-1,-1,-1
447,1270,-1,-1,-1,-1,-1,-1,-1
448,188,-1,-1,-1,-1,-1,-1,-1
449,242,-1,-1,-1,-1,-1,-1,-1
450,2394,-1,-1,-1,-1,-1,-1,-1
451,1149,-1,-1,-1,-1,-1,-1,-1
452,2001,-1,-1,-1,-1,-1,-1,-1
453,472,-1,-1,-1,-1,-1,-1,-1
454,465,8377,23696,-1,-1,-1,-1,-1
455,1398,-1,-1,-1,-1,-1,-1,-1
456,1854,-1,-1,-1,-1,-1,-1,-1
457,1852,-1,-1,-1,-1,-1,-1,-1
458,2141,-1,-1,-1,-1,-1,-1,-1
459,1643,-1,-1,-1,-1,-1,-1,-1
460,828,-1,-1,-1,-1,-1,-1,-1
461,1423,7521,17298,-1,-1,-1,-1,-1
462,3153,-1,-1,-1,-1,-1,-1,-1
463,710,-1,-1,-1,-1,-1,-1,-1
464,483,8113,-1,-1,-1,-1,-1,-1
465,1620,-1,-1,-1,-1,-1,-1,-1
466,828,4041,-1,-1,-1,-1,-1,-1
467,120,2799,7908,-1,-1,-1,-1,-1
468,5405,-1,-1,-1,-1,-1,-1,-1
469,1258,-1,-1,-1,-1,-1,-1,-1
470,2647,5643,-1,-1,-1,-1,-1,-1
471,373,-1,-1,-1,-1,-1,-1,-1
472,388,1658,-1,-1,-1,-1,-1,-1
473,212,6033,-1,-1,-1,-1,-1,-1
474,11852,21555,-1,-1,-1,-1,-1,-1
475,367,-1,-1,-1,-1,-1,-1,-1
476,10267,21164,33608,-1,-1,-1,-1,-1
477,7325,20401,35418,47496,-1,-1,-1,-1
478,312,4724,-1,-1,-1,-1,-1,-1
479,5722,-1,-1,-1,-1,-1,-1,-1
480,2368,8990,16612,-1,-1,-1,-1,-1
481,4546,-1,-1,-1,-1,-1,-1,-1
482,588,-1,-1,-1,-1,-1,-1,-1
483,3727,11677,21094,-1,-1,-1,-1,-1
484,6551,14815,24163,-1,-1,-1,-1,-1
485,175,2515,-1,-1,-1,-1,-1,-1
486,6926,18227,31056,-1,-1,-1,-1,-1
487,4590,11556,-1,-1,-1,-1,-1,-1
488,6039,16847,32716,-1,-1,-1,-1,-1
489,1965,-1,-1,-1,-1,-1,-1,-1
490,1201,-1,-1,-1,-1,-1,-1,-1
491,174,-1,-1,-1,-1,-1,-1,-1
492,219,6329,-1,-1,-1,-1,-1,-1
493,6064,-1,-1,-1,-1,-1,-1,-1
494,2133,-1,-1,-1,-1,-1,-1,-1
495,3013,-1,-1,-1,-1,-1,-1,-1
496,3391,-1,-1,-1,-1,-1,-1,-1
497,909,5761,-1,-1,-1,-1,-1,-1
498,2910,10145,17390,-1,-1,-1,-1,-1
499,1732,-1,-1,-1,-1,-1,-1,-1
500,1857,-1,-1,-1,-1,-1,-1,-1
501,7174,-1,-1,-1,-1,-1,-1,-1
502,353,2305,-1,-1,-1,-1,-1,-1
503,402,3780,-1,-1,-1,-1,-1,-1
504,4895,-1,-1,-1,-1,-1,-1,-1
505,180,3431,-1,-1,-1,-1,-1,-1
506,1417,-1,-1,-1,-1,-1,-1,-1
507,7745,-1,-1,-1,-1,-1,-1,-1
508,408,4373,-1,-1,-1,-1,-1,-1
509,4472,14598,-1,-1,-1,-1,-1,-1
510,1967,-1,-1,-1,-1,-1,-1,-1
511,3541,15344,-1,-1,-1,-1,-1,-1
512,445,1839,-1,-1,-1,-1,-1,-1
513,2409,-1,-1,-1,-1,-1,-1,-1
514,366,-1,-1,-1,-1,-1,-1,-1
515,1497,-1,-1,-1,-1,-1,-1,-1
516,524,-1,-1,-1,-1,-1,-1,-1
517,213,6484,14572,-1,-1,-1,-1,-1
518,2554,-1,-1,-1,-1,-1,-1,-1
519,3703,-1,-1,-1,-1,-1,-1,-1
520,234,2387,6952,-1,-1,-1,-1,-1
521,284,3354,-1,-1,-1,-1,-1,-1
522,508,5161,-1,-1,-1,-1,-1,-1
523,1381,-1,-1,-1,-1,-1,-1,-1
524,288,7940,16602,-1,-1,-1,-1,-1
525,1345,-1,-1,-1,-1,-1,-1,-1
526,9019,-1,-1,-1,-1,-1,-1,-1
527,198,-1,-1,-1,-1,-1,-1,-1
528,1217,-1,-1,-1,-1,-1,-1,-1
529,4648,-1,-1,-1,-1,-1,-1,-1
530,19110,-1,-1,-1,-1,-1,-1,-1
531,7756,-1,-1,-1,-1,-1,-1,-1
532,410,-1,-1,-1,-1,-1,-1,-1
533,3262,-1,-1,-1,-1,-1,-1,-1
534,560,-1,-1,-1,-1,-1,-1,-1
535,20772,-1,-1,-1,-1,-1,-1,-1
536,381,-1,-1,-1,-1,-1,-1,-1
537,12002,-1,-1,-1,-1,-1,-1,-1
538,1013,7918,-1,-1,-1,-1,-1,-1
539,344,-1,-1,-1,-1,-1,-1,-1
