,2014x,2014y,2015x,2015y,2016x,2016y,2017x,2017y,2018x,2018y,2019x,2019y,2020x,2020y,2021x,2021y
100,3359,11758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,3377,10278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,3381,4170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,3407,11152,3411,11126,3349,11134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,3435,7246,3439,7218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,3449,8392,3373,8386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,3449,10464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,3457,7908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,3483,3662,3429,3682,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,3493,1981,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,3522,4554,3459,4594,3397,4522,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,3523,4734,3469,4770,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,3539,12990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,3543,1837,3477,1865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,3585,1733,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,3597,2128,3509,2126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,3627,6410,3625,6412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,3649,2300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,3653,3235,3570,3222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
119,3657,2362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,3657,12204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,3665,1639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,3671,12086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,3721,12480,3718,12477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,3725,12907,3717,12890,3641,12890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,3733,11849,3733,11842,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,3797,1665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,3805,1594,3723,1588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,3809,2605,3749,2614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,3817,13232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,3823,5400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
131,3823,7414,3825,7404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,3853,4711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,3879,2412,3829,2421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,3889,2012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,3893,2784,3829,2778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136,3909,9533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,3913,2186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
138,3931,8493,3957,8480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
