,./mask/201408ddyw.tif,./mask/201508ddyw.tif,./mask/20151017sp.tif,./mask/20160907.tif,./mask/20161025.tif,./mask/20170714.tif,./mask/20170728.tif,./mask/20171002.tif,./mask/20180729.tif,./mask/20180828.tif,./mask/20180926.tif,./mask/20190828.tif,./mask/20190923.tif,./mask/20200727.tif,./mask/20210717.tif
101,23547,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,24788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,311,4852,3270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,839,5974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,157,2056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,8640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,2816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,10417,12701,14646,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,3453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,4919,10406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,2272,6138,6422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,1847,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,4022,3885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,4876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,3428,6604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,2324,7681,6929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,2020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,7217,14543,13030,26020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
119,24762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,4421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,5284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,6123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,1522,3704,2759,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,11336,18906,17216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,14376,30538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,2916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,472,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,4521,9286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,4054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
131,282,4456,2344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,1086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,2102,4306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,9134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,3019,7650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136,3229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,2071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
138,329,4350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
139,16545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,3997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
141,2252,5567,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
142,2887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,14775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,3053,8113,8550,18144,18310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,4604,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,2770,5272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
147,1214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
148,263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,3148,6714,5541,11321,10505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,1520,1928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,392,5655,4202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
152,1326,2675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153,138,4964,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,2673,3786,2182,6091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
155,1879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
157,3098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,249,5910,5579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,1174,2642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
161,2055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,636,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
163,356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
164,17254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,6083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,17359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
167,1838,8673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,1145,1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,3481,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
170,9060,16419,15953,25710,26051,34414,36446,37230,-1,-1,-1,-1,-1,-1,-1
171,4433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
172,2811,5045,7557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,12394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
174,1861,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
175,11632,21088,18703,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
176,4968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
177,2414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,132,3766,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,2045,6511,5500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,3620,8675,6070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
181,428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
183,2370,6414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,236,5181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,2434,9644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,2984,6737,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,5174,11994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
188,3108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,4572,9739,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,1620,2443,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,1715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
193,6606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
194,4825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,3169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
196,2451,6876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
197,1338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
198,2332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
199,8529,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,4190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201,3916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,195,3675,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
203,3826,10991,10373,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204,1783,8680,8302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205,2616,7734,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
206,5176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
207,3788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
208,1570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,3371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,3939,7954,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
